"id","type","source_node_id","target_node_id","source_scale_id","target_scale_id","directed","governing","audit_tier","relation_tier","contact_tier","contact_office","phase_delta","phase_deltas_json","hamming","endpoint_hamming","mode","mutation","degree","degree_governor","eligible","selected","target_classification","evidence_count","evidence_role","unanimous","plurality","categorical","contact_tier_counts_json","provenance"
"boundary-contact:office_junction:1359:847:0","JUNCTION_CONTACT","scale:1359","scale:847","1359","847",true,false,"UNIVERSAL","boundary","A2","Moon","0",,"2",,"single_degree","10→9","7","Moon",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:1693:847:1","JUNCTION_CONTACT","scale:1693","scale:847","1693","847",true,false,"UNIVERSAL","boundary","A0","Mercury","1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:875:883:0","JUNCTION_CONTACT","scale:875","scale:883","875","883",true,false,"UNIVERSAL","boundary","A0","Saturn","0",,"2",,"single_degree","3→4","3","Mars",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:885:883:0","JUNCTION_CONTACT","scale:885","scale:883","885","883",true,false,"UNIVERSAL","boundary","A2","Jupiter","0",,"2",,"single_degree","2→1","2","Jupiter",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:1395:883:0","JUNCTION_CONTACT","scale:1395","scale:883","1395","883",true,false,"UNIVERSAL","boundary","A0","Saturn","0",,"2",,"single_degree","10→9","7","Moon",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:1765:883:1","JUNCTION_CONTACT","scale:1765","scale:883","1765","883",true,false,"UNIVERSAL","boundary","A1","Moon","1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:939:947:0","JUNCTION_CONTACT","scale:939","scale:947","939","947",true,false,"UNIVERSAL","boundary","A0","Venus","0",,"2",,"single_degree","3→4","3","Mars",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:949:947:0","JUNCTION_CONTACT","scale:949","scale:947","949","947",true,false,"UNIVERSAL","boundary","A1","Mercury","0",,"2",,"single_degree","2→1","2","Jupiter",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:1459:947:0","JUNCTION_CONTACT","scale:1459","scale:947","1459","947",true,false,"UNIVERSAL","boundary","A0","Venus","0",,"2",,"single_degree","10→9","7","Moon",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:1893:947:1","JUNCTION_CONTACT","scale:1893","scale:947","1893","947",true,false,"UNIVERSAL","boundary","A2","Sun","1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:939:971:0","JUNCTION_CONTACT","scale:939","scale:971","939","971",true,false,"UNIVERSAL","boundary","A0","Venus","0",,"2",,"single_degree","5→6","4","Sun",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:967:971:0","JUNCTION_CONTACT","scale:967","scale:971","967","971",true,false,"UNIVERSAL","boundary","D2","Venus","0",,"2",,"single_degree","2→3","3","Mars",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:1483:971:0","JUNCTION_CONTACT","scale:1483","scale:971","1483","971",true,false,"UNIVERSAL","boundary","A0","Venus","0",,"2",,"single_degree","10→9","7","Moon",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:1941:971:1","JUNCTION_CONTACT","scale:1941","scale:971","1941","971",true,false,"UNIVERSAL","boundary","A2","Sun","1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:487:973:-1","JUNCTION_CONTACT","scale:487","scale:973","487","973",true,false,"UNIVERSAL","boundary","D2","Jupiter","-1",,"2",,"root_phase","root 0→11; renormalize +1","1","Saturn",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:941:973:0","JUNCTION_CONTACT","scale:941","scale:973","941","973",true,false,"UNIVERSAL","boundary","A0","Jupiter","0",,"2",,"single_degree","5→6","4","Sun",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:981:973:0","JUNCTION_CONTACT","scale:981","scale:973","981","973",true,false,"UNIVERSAL","boundary","A2","Mars","0",,"2",,"single_degree","4→3","3","Mars",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:1485:973:0","JUNCTION_CONTACT","scale:1485","scale:973","1485","973",true,false,"UNIVERSAL","boundary","A0","Jupiter","0",,"2",,"single_degree","10→9","7","Moon",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:695:1207:0","JUNCTION_CONTACT","scale:695","scale:1207","695","1207",true,false,"UNIVERSAL","boundary","A1","Venus","0",,"2",,"single_degree","9→10","7","Moon",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:1143:1207:0","JUNCTION_CONTACT","scale:1143","scale:1207","1143","1207",true,false,"UNIVERSAL","boundary","D4","Venus","0",,"2",,"single_degree","6→7","6","Mercury",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
