witness_id,source_id,operator_id,conjugate_operator_id,left_path,right_path,left_defined,right_defined,left_target_id,right_target_id,domain_matches,target_matches,result
covariance:L2:2801,2801,L2,L1,L2;M,M;L1,true,true,861,861,true,true,PASS
covariance:L2:2831,2831,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:2839,2839,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:2843,2843,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:2845,2845,L2,L1,L2;M,M;L1,true,true,3469,3469,true,true,PASS
covariance:L2:2855,2855,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:2859,2859,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:2861,2861,L2,L1,L2;M,M;L1,true,true,3477,3477,true,true,PASS
covariance:L2:2867,2867,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:2869,2869,L2,L1,L2;M,M;L1,true,true,3481,3481,true,true,PASS
covariance:L2:2873,2873,L2,L1,L2;M,M;L1,true,true,1741,1741,true,true,PASS
covariance:L2:2887,2887,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:2891,2891,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:2893,2893,L2,L1,L2;M,M;L1,true,true,3493,3493,true,true,PASS
covariance:L2:2899,2899,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:2901,2901,L2,L1,L2;M,M;L1,true,true,3497,3497,true,true,PASS
covariance:L2:2905,2905,L2,L1,L2;M,M;L1,true,true,1749,1749,true,true,PASS
covariance:L2:2915,2915,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:2917,2917,L2,L1,L2;M,M;L1,true,true,3505,3505,true,true,PASS
covariance:L2:2921,2921,L2,L1,L2;M,M;L1,true,true,1753,1753,true,true,PASS
covariance:L2:2929,2929,L2,L1,L2;M,M;L1,true,true,877,877,true,true,PASS
covariance:L2:2951,2951,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:2955,2955,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:2957,2957,L2,L1,L2;M,M;L1,true,true,3525,3525,true,true,PASS
covariance:L2:2963,2963,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:2965,2965,L2,L1,L2;M,M;L1,true,true,3529,3529,true,true,PASS
covariance:L2:2969,2969,L2,L1,L2;M,M;L1,true,true,1765,1765,true,true,PASS
covariance:L2:2979,2979,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:2981,2981,L2,L1,L2;M,M;L1,true,true,3537,3537,true,true,PASS
covariance:L2:2985,2985,L2,L1,L2;M,M;L1,true,true,1769,1769,true,true,PASS
covariance:L2:2993,2993,L2,L1,L2;M,M;L1,true,true,885,885,true,true,PASS
covariance:L2:3011,3011,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3013,3013,L2,L1,L2;M,M;L1,true,true,3553,3553,true,true,PASS
covariance:L2:3017,3017,L2,L1,L2;M,M;L1,true,true,1777,1777,true,true,PASS
covariance:L2:3025,3025,L2,L1,L2;M,M;L1,true,true,889,889,true,true,PASS
covariance:L2:3041,3041,L2,L1,L2;M,M;L1,true,true,445,445,true,true,PASS
covariance:L2:3103,3103,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3119,3119,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3127,3127,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3131,3131,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3133,3133,L2,L1,L2;M,M;L1,true,true,3613,3613,true,true,PASS
covariance:L2:3151,3151,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3159,3159,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3163,3163,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3165,3165,L2,L1,L2;M,M;L1,true,true,3629,3629,true,true,PASS
covariance:L2:3175,3175,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3179,3179,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
covariance:L2:3181,3181,L2,L1,L2;M,M;L1,true,true,3637,3637,true,true,PASS
covariance:L2:3187,3187,L2,L1,L2;M,M;L1,false,false,,,true,true,PASS
